product_id,stok_kodu,miktar
28956,EB2496-KS,1
28903,ERK679,1
28898,ERK674,3
28817,HH949-KS,14
28738,HH939-KS,11
28331,EB2268-KS,3
28233,BS1997-KS,19
28225,ERK668-KS,6
28163,BY845-KS,26
27959,EB2217-KS,55
27906,BY817-KS,23
27797,ES1358-KS,11
27791,ES1352-KS,9
27592,ERK629-KS,21
27466,BKO4026-KS,11
26548,EB2041-KS,3
26345,SCB1018-KS,4
25875,EB1887,11
25721,BKP3922,3
25681,SGK1020,3
25130,BS1637,19
24887,EY218,16
24630,BKO3665,2
24607,BKO3642,25
24602,BKO3637,23
24187,BRS277,17
22653,HH598,9
22384,BS1568,1
21558,EB1380,19
21247,EKP134,8
20886,SN330,2
20337,HH317,5
18553,EY162,9
18123,EBR127,3
13379,HH204,9
7372,BKP944,10
6671,BKO1276,2
6174,EB1006,3
29134,HH1024-KS,1
29114,HH1004-KS,7
29045,BYK1019-KS,11
28965,EB2505-KS,8
28964,EB2504-KS,11
28963,EB2503-KS,13
28962,EB2502-KS,7
28959,EB2499-KS,13
28956,EB2496-KS,0
28953,EB2493-KS,8
28951,EB2491-KS,12
28948,EB2488-KS,13
28945,EB2485-KS,7
28944,EB2484-KS,10
28943,EB2483-KS,10
28942,EB2482-KS,3
28941,EB2481-KS,9
28939,EB2479-KS,11
28938,EB2478-KS,9
28935,EB2475-KS,10
28934,EB2474-KS,9
28933,EB2473-KS,5
28932,EB2472-KS,9
28931,EB2471-KS,11
28930,EB2470-KS,7
28929,EB2469-KS,6
28927,EB2467-KS,10
28924,EB2464-KS,12
28923,EB2463-KS,11
28922,EB2462-KS,8
28921,EB2461-KS,9
28918,EB2458-KS,12
28917,EB2457-KS,7
28915,EB2455-KS,9
28914,EB2454-KS,9
28913,EB2453-KS,11
28859,BK2422,12
28858,BK2421,14
28851,BB2441-KS,3
28850,BB2440-KS,3
28849,BB2439-KS,5
28845,BB2435-KS,15
28844,BB2434-KS,9
28824,HH956-KS,19
28820,HH952-KS,9
28818,HH950-KS,21
28817,HH949-KS,13
28815,HH947-KS,31
28814,HH946-KS,21
28770,BB2423-KS,3
28769,BB2422-KS,2
28765,BB2418-KS,5
28764,BB2417-KS,15
28757,BB2410-KS,15
28756,BB2409-KS,13
28745,BKO4166-KS,4
28740,HH941-KS,6
28739,HH940-KS,7
28725,HH938-KS,7
28724,HH937-KS,11
28723,HH936-KS,11
28722,HH935-KS,5
28672,BKO4090-KS,8
28650,EB2431,2
28647,EB2428,8
28645,EB2426,5
28623,EB2404,15
28621,EB2402,6
28619,EB2400,12
28615,EB2396,3
28614,EB2395,7
28613,EB2394,7
28602,EB2383,4
28550,BB2393-KS,8
28548,BB2391-KS,10
28518,ES1498-KS,5
28503,ES1492-KS,7
28500,ES1489-KS,9
28496,ES1486-KS,11
28489,EB2324,3
28482,EB2318,8
28481,EB2317,3
28479,EB2315,4
28457,ES1471-KS,11
28417,EB2293,5
28415,EB2292,5
28403,ES1431-KS,10
28387,EB2284,14
28374,EK1124,4
28361,EK1111,6
28334,EB2271-KS,8
