Id,Stock
27805,98
27815,97
27546,2
27555,1
3654,1
48010,10002
27901,9
27910,19
58365,3
549,2
56919,0
50438,0
58480,9999
58482,9998
58603,9999
58838,9999
57727,0
57730,1
58093,0
58113,1
57666,10001
56512,9997
51407,9999
48274,9999
48279,9999
48010,10001
46477,0
46740,1
45643,0
45669,1
44411,9994
43747,9998
43767,9996
43072,1
43215,9999
42639,9998
27725,1
27804,97
27807,48
27825,98
27890,8
27895,8
27902,9
27904,2
27905,2
27906,5
27907,4
27908,1
4194,1
4195,5
17452,2
17455,0
17458,1
22801,4
22822,1
22827,3
22832,0
27011,0
27370,2
27547,2
3654,0
3656,5
3658,0
3709,0
3866,0
2272,0
2214,0
549,1
562,5
572,1
769,1
774,1
58364,1
54809,21
48010,10000
27896,8
3701,0
1275,0
2126,0
2150,1
56582,0
22814,0
22821,0
2145,0
47142,0
46105,0
2816,0
549,0
57736,0
54796,10003
54821,9998
50910,9998
49319,9999
45899,9995
45023,9999
27891,5
27892,7
27896,6
27898,3
22813,0
27373,6
3660,1
3665,0
2694,2
547,4
56919,1
54140,9999
54165,9997
54294,0
50910,9999
50438,1
49319,10000
48274,10000
48279,10000
27915,17
3109,0
2155,0
547,5
555,0
564,4
577,2
582,3
589,2
54806,9997
52317,9996
52352,9996
47364,9999
46084,3
27910,18
27915,16
27916,19
27372,6
58104,2
43752,9996
547,4
552,4
57111,1
54921,0
46549,9
27812,50
27820,99
27827,49
27892,9
27910,19
27911,18
27915,17
4285,9
17459,0
27074,2
27362,1
27370,3
27546,3
27557,0
3662,0
3750,1
3840,1
4083,0
2516,1
2538,2
1952,1
553,3
573,1
583,0
588,2
739,0
754,3
57642,10002
57672,10013
52831,9999
49726,9999
43766,9999
27891,7
27896,7
27906,3
27908,3
27910,18
27913,9
27915,16
27923,8
22832,1
2902,1
2993,1
2260,1
2291,1
2810,2
547,3
573,2
739,1
754,4
58364,2
58603,10000
57727,1
57730,2
58093,1
58113,2
57658,1
57664,2
56582,1
54819,10001
47142,1
46477,1
45643,1
45900,9996
46105,1
45444,0
43766,10000
43072,2
43490,10000
42639,9999
42793,1
27725,2
27893,4
27894,5
27895,8
27896,8
27898,4
27903,5
27905,1
27906,4
27907,4
27908,4
4201,1
17458,0
27076,0
27373,5
27439,1
27583,1
3686,4
3866,1
3908,1
4085,2
2272,1
1666,3
1671,5
1672,0
1694,1
1827,1
1943,1
2129,2
2135,0
2136,0
2145,1
2193,1
2211,1
2214,1
546,0
554,3
564,2
565,4
735,1
765,1
57962,1
57051,9996
57643,1
57648,2
57658,2
57661,9997
57673,2
52317,9997
52352,9997
50691,10001
45669,2
44927,3
45444,1
27725,3
27891,8
27895,9
27896,9
27904,3
27905,2
27906,5
27907,5
27917,20
4084,12
2733,0
1666,0
1924,6
547,1
549,1
564,0
572,2
588,1
759,0
57661,9996
27890,8
27905,3
27906,7
22817,0
22832,3
22842,0
27011,2
3556,2
4084,11
2546,0
1665,0
1671,6
549,2
567,3
66864,1
66865,4
66866,4
66867,4
66868,2
66869,1
66870,3
66871,2
66872,3
66873,2
66874,2
66875,3
66876,4
66877,5
66878,2
66879,1
66880,4
66881,3
66882,2
66883,2
66884,0
66885,1
66886,0
66887,0
66888,0
66889,0
66890,1
66891,0
66892,0
66893,0
66894,0
66895,0
66896,0
66897,0
66898,1
66899,0
66900,7
66901,24
66902,12
66903,15
66904,3
66905,1
66906,0
66907,12
66908,3
66909,1
66910,1
66911,0
66912,0
66913,0
66914,0
66915,1
66916,8
66917,3
66918,0
66919,0
66920,0
66921,1
66922,1
66923,0
66924,1
66925,0
66926,0
66927,1
66928,0
66929,1
66930,0
66931,1
66932,0
66933,1
66934,0
66935,0
66936,0
66937,1
66938,0
66939,2
66940,0
66941,1
66942,1
66943,0
66944,2
66945,0
66946,0
66947,0
66948,0
66949,4
66950,3
66951,6
66952,1
66953,0
66954,2
66955,0
66956,0
66957,0
66958,0
66959,2
66960,3
66961,1
66962,1
66963,0
66964,1
66965,0
66966,2
66967,0
66968,0
66969,1
66970,0
66971,0
66972,1
66973,0
66974,0
66975,0
66976,0
66977,0
66978,0
66979,0
66980,0
66981,1
66982,0
66983,0
66984,0
66985,1
