VaryasyonID,Barkod,StokKodu,StokAdedi
7036,8681856505172,9Y03TST3002SYH,19
7037,8681856505172,9Y03TST3002SYH,19
1773,18681856505578,8Y03ELB0078SYH,2
3593,18681856503949,8Y03TST0125GRI,3
6983,8682010007563,9Y03ELB1033RNK,2
7020,8682010007327,9Y03TST3084KRMZ,19
7030,8682010007303,9Y03TST3084SARI,19
297,8681856501129,8K03BLZ7922VZN,2
1733,8681856505165,9Y03TST3002BYZ,19
7038,8681856505165,9Y03TST3002BYZ,18
7039,8681856505165,9Y03TST3002BYZ,17
7040,8681856505165,9Y03TST3002BYZ,18
1736,8681856505172,9Y03TST3002SYH,19
7035,8681856505172,9Y03TST3002SYH,18
7036,8681856505172,9Y03TST3002SYH,17
2087,48681856507404,8Y03BLZ0117SYH4,10
7044,8682010007488,9Y03TST3002HAKI,19
3592,48681856503932,8Y03TST0125BYZ4,5
4159,18681856503963,8Y03TST0128BYZ,1
5718,8682010003817,9Y03TST3084SYH,17
7018,8682010003817,9Y03TST3084SYH,19
6862,8681856508012,8Y03TNK0179BYZ,3
6867,8682010001226,8Y03TNK0179SYH,3
6975,8682010007501,9Y03ELB1082BRD,4
6979,8682010007433,9Y03ELB1087BYZ,4
6983,8682010007563,9Y03ELB1033RNK,1
6985,8682010007563,9Y03ELB1033RNK,1
7019,8682010007327,9Y03TST3084KRMZ,17
7020,8682010007327,9Y03TST3084KRMZ,16
7021,8682010007327,9Y03TST3084KRMZ,18
7022,8682010007327,9Y03TST3084KRMZ,18
7031,8682010007297,9Y03TST3084HAKI,19
7067,8681856500016,9Y03ELB1023SYH,19
7038,8681856505165,9Y03TST3002BYZ,15
7039,8681856505165,9Y03TST3002BYZ,16
7040,8681856505165,9Y03TST3002BYZ,17
1736,8681856505172,9Y03TST3002SYH,17
7035,8681856505172,9Y03TST3002SYH,17
7036,8681856505172,9Y03TST3002SYH,14
7037,8681856505172,9Y03TST3002SYH,18
2089,28681856507411,8Y03BLZ0154BYZ2,2
2279,28681856507626,8Y03TST0128SYH2,0
7044,8682010007488,9Y03TST3002HAKI,18
7046,8682010007488,9Y03TST3002HAKI,17
2986,28681856507930,8Y03TNK0178BYZ2,2
3520,28681856503925,8Y03BLZ0117BYZ2,10
3592,48681856503932,8Y03TST0125BYZ4,4
3593,18681856503949,8Y03TST0125GRI,2
3600,48681856503956,8Y03TST0125KRMZ4,8
4159,18681856503963,8Y03TST0128BYZ,0
4165,38681856503970,8Y03TST0128GRI3,0
4644,28682010002377,8Y03TST0283BYZ2,1
