VaryasyonID,Barkod,StokAdedi
29280,6557968761251,0
30517,6557968764955,0
26862,6557969163382,0
31951,6557969160671,12
33077,6557969023730,0
33078,6557969023747,0
33079,6557969023754,0
33929,6557969128053,1
33930,6557969128060,2
34386,6557969149065,9
34387,6557969149072,7
34388,6557969149096,4
42326,6557969149089,4
42327,6557969149102,3
34389,6557969092170,10
34390,6557969092187,10
34391,6557969092194,4
34392,6557969092200,5
42328,6557969092217,3
34393,6557969092224,9
34394,6557969092262,4
42329,6557969092231,7
42330,6557969092248,3
42331,6557969092255,3
34395,6557969092279,7
42332,6557969092286,7
42333,6557969092293,3
42334,6557969092309,3
42335,6557969092316,3
34396,6557969092323,8
34397,6557969092330,6
34398,6557969092361,4
42336,6557969092347,3
42337,6557969092354,3
34399,6557969149126,4
34400,6557969149157,2
34401,6557969092385,3
34402,6557969092408,2
34403,6557969092415,2
34404,6557969092439,8
34405,6557969092446,5
34406,6557969092460,4
42338,6557969092422,6
42339,6557969092453,3
34407,6557969092507,2
43049,6557969104729,2
43051,6557969104750,0
43183,6557969305348,5
43186,6557969305386,2
43188,6557969305409,6
43841,6557969308974,4
26859,6557969163351,52
26865,6557969163412,10
34561,6557969017739,6
34747,6557969146354,2
43193,6557969305454,9
26104,6557968904894,0
26794,6557969163061,0
26861,6557969163375,21
18090,6557968470689,0
18091,6557968470696,0
18092,6557968470702,0
18093,6557968470719,0
26526,6557968547862,3
18187,6557968547879,1
26530,6557968728759,1
18374,6557968728742,1
18375,6557968728766,2
18377,6557968728780,2
18378,6557968728797,2
18379,6557968728803,1
18455,6557968744520,1
18456,6557968744537,1
18457,6557968744544,1
18699,6557968745282,1
18702,6557968745336,2
18703,6557968745343,1
18704,6557968745350,1
18706,6557968745374,1
18708,6557968745398,1
18709,6557968745404,1
18786,6557968723167,0
27910,6557968720845,0
18846,6557968593364,1
18847,6557968593388,5
19281,6557968894713,0
19282,6557968894720,0
19283,6557968894737,0
19285,6557968894768,6
19301,6557968928166,0
19302,6557968928173,0
19303,6557968928180,0
19304,6557968928197,0
19365,6557968800394,12
19367,6557968800431,10
19368,6557968800448,12
19369,6557968800455,5
19370,6557968800462,8
19371,6557968800479,6
19372,6557968800486,9
19373,6557968800493,4
19376,6557968800523,6
19391,6557968802732,2
19487,6557968808208,0
27198,6557968901176,3
19509,6557968901053,7
19510,6557968901077,8
19511,6557968901091,6
19512,6557968901114,5
19513,6557968901152,4
19547,6557968839059,1
19600,6557968867656,0
19614,6557968878430,4
19861,6557968895796,0
19862,6557968895819,2
19863,6557968895833,2
19864,6557968895840,6
19865,6557968895857,1
19866,6557968895864,2
19867,6557968895871,1
19868,6557968895888,6
19869,6557968895895,3
19870,6557968895901,12
19871,6557968895918,6
19872,6557968895925,3
19873,6557968895932,3
19874,6557968895956,0
19875,6557968895970,3
19876,6557968895987,1
19877,6557968895994,5
19878,6557968896007,6
19879,6557968896014,4
19880,6557968896021,0
19881,6557968896038,3
19882,6557968896052,0
19923,6557968899282,2
19924,6557968899305,2
19932,6557968899411,0
19966,6557968901473,0
19967,6557968901480,4
19968,6557968901497,1
19969,6557968901503,4
41628,6557968901640,2
20075,6557968944067,3
20082,6557968944159,0
20092,6557968944302,0
20095,6557968944333,2
20104,6557968944517,0
20124,6557968944814,2
20127,6557968944845,1
20161,6557968976013,2
20162,6557968976020,1
20184,6557968976396,8
20346,6557969003312,0
20347,6557969003329,1
20348,6557969003343,0
20349,6557969003367,0
20350,6557969003374,0
21066,6557968788029,0
21067,6557968788036,0
21068,6557968788043,0
21082,6557968889450,0
21083,6557968889467,0
21084,6557968889474,0
21085,6557968889481,0
21086,6557968889498,0
21087,6557968890524,0
21088,6557968890531,0
21089,6557968890548,0
21090,6557968890562,0
26176,6557968894232,0
26174,6557968894218,0
21091,6557968894195,0
21092,6557968894201,0
21101,6557968896922,0
21103,6557968897240,0
21105,6557968897264,0
21106,6557968897271,0
21123,6557968911021,0
21124,6557968911038,0
21125,6557968911045,0
21126,6557968911052,0
21127,6557968911069,0
21128,6557968911076,0
21129,6557968911083,0
21130,6557968911090,0
21131,6557968911106,0
21132,6557968911113,0
21133,6557968920818,0
21134,6557968920825,0
21135,6557968920832,0
21136,6557968920849,0
21137,6557968920856,0
21233,6557968823584,4
27546,6557968854328,2
21363,6557968854342,2
33304,6557968854335,1
33305,6557968863603,1
21503,6557968905105,0
21504,6557968905112,0
21505,6557968905129,1
21506,6557968905136,0
21507,6557968890128,3
21508,6557968890135,2
41642,6557968890142,2
41643,6557968890159,1
27756,6557968897554,1
