VaryasyonID,StokKodu,Barkod,StokAdedi
19653,DNR-5016,8681406504747,2
19674,DNR-5013,8681406504990,0
19817,AYD-0203,9000503731,0
19841,OTS-3212,8698965523850,0
20179,ECY-701,8681406513213,1
20265,DLD-5043,8681406512308,8
20489,ECY-518,8681406502316,4
20504,ECY-543,8681406502040,4
20503,ECY-543,8681406509162,4
20501,ECY-543,8681406502026,5
20502,ECY-543,8681406502033,8
20567,VNS-8100-2,8681406511974,113
20566,VNS-8100-2,8681406511981,169
20565,VNS-8100-2,8681406511998,29
20591,ECY-515,8681406507717,3
20625,ECY-517,8681406506437,1
20753,TKT-104,8681406502712,6
20766,ECY-108,9000450782,0
20795,TKT-101,8681406526244,2
21232,LP-929-5,9000524375,1
21320,5002-D13,9000503729,0
21509,DGL-6522,9000454168,0
21559,001-018857,8680570214940,2
21666,SST-390,9000448360,1
21665,SST-390,9000448359,0
21734,SST-397,8681406516054,1
22076,SST-780,9000437653,49
22197,SST-710,9000437504,44
22215,SST-775,9000437625,49
22463,001-018051,8696722402523,3
22808,MRN-1310,9000452428,42
22971,SST-910,8681406519758,16
22992,SST-346,8681406516115,14
23140,TK-0148-2,9000450655,28
23237,SST-079,9000437318,43
23242,SST-219,9000437437,48
23292,SST-1034,9000437185,37
23847,FDS-8026,9000454067,46
23858,FDS-8037,9000454090,45
24304,FDS-8125,9000454272,45
24311,FDS-8127-3,9000454279,43
24882,FDS-8131,9000454295,41
24886,FDS-8127-2,9000454459,42
24901,FDS-8128-3,9000454041,33
24898,FDS-8128-3,9000454038,43
25550,FDS-4004,9000453487,49
25566,FDS-3998,9000453415,49
25650,FDS-8091,9000454027,44
25910,DLD-5005,8681406515071,2
25965,ECY-635,8681406514593,0
26084,ECY-639,8681406514784,6
26085,ECY-639,8681406514791,5
26083,ECY-639,8681406514777,6
26082,ECY-639,8681406514760,6
26094,ECY-640,8681406514845,4
26099,ECY-638,8681406514746,4
26102,ECY-630,8681406514289,5
26103,ECY-630,8681406514302,11
26101,ECY-630,8681406514272,13
27322,ECY-630,8681406514296,13
26150,ECY-582,8681406514982,2
26201,001-018260,8696722846952,6
26203,001-018260,8680570451321,6
27387,001-018630,8680570158015,3
26534,DLD-5002-2,8681406521874,15
26591,VNS-8260,8681406519000,3
26613,IFN-127,8681406518676,0
26733,DLD-6020-2,8681406521140,2
26897,230-000506,8680570141659,1
26898,230-000506,241616491083,0
27041,IFN-5803-1,8681406520488,3
27042,IFN-5803-1,8681406520495,2
27161,001-013125,8680570228442,0
27213,CH-0062-9,8681406522918,0
27217,CH-0062-6,8681406522888,2
27297,IFN-1007,8681406523779,0
