VaryasyonID,Barkod,StokKodu,StokAdedi
19653,8681406504747,DNR-5016,2
19674,8681406504990,DNR-5013,0
19817,9000503731,AYD-0203,0
19841,8698965523850,OTS-3212,0
20179,8681406513213,ECY-701,1
20265,8681406512308,DLD-5043,8
20489,8681406502316,ECY-518,4
20504,8681406502040,ECY-543,4
20503,8681406509162,ECY-543,4
20501,8681406502026,ECY-543,5
20502,8681406502033,ECY-543,8
20567,8681406511974,VNS-8100-2,113
20566,8681406511981,VNS-8100-2,169
20565,8681406511998,VNS-8100-2,29
20591,8681406507717,ECY-515,3
20625,8681406506437,ECY-517,1
20753,8681406502712,TKT-104,6
20766,9000450782,ECY-108,0
20795,8681406526244,TKT-101,2
21320,9000503729,5002-D13,0
21509,9000454168,DGL-6522,0
21559,8680570214940,001-018857,2
21734,8681406516054,SST-397,1
22076,9000437653,SST-780,49
22197,9000437504,SST-710,44
22215,9000437625,SST-775,49
22463,8696722402523,001-018051,3
22808,9000452428,MRN-1310,42
22971,8681406519758,SST-910,16
22992,8681406516115,SST-346,14
23140,9000450655,TK-0148-2,28
23237,9000437318,SST-079,43
23242,9000437437,SST-219,48
23292,9000437185,SST-1034,37
23847,9000454067,FDS-8026,46
23858,9000454090,FDS-8037,45
24304,9000454272,FDS-8125,45
24311,9000454279,FDS-8127-3,43
24882,9000454295,FDS-8131,41
24886,9000454459,FDS-8127-2,42
24901,9000454041,FDS-8128-3,33
24898,9000454038,FDS-8128-3,43
25550,9000453487,FDS-4004,49
25566,9000453415,FDS-3998,49
25650,9000454027,FDS-8091,44
25910,8681406515071,DLD-5005,2
25965,8681406514593,ECY-635,0
26084,8681406514784,ECY-639,6
26085,8681406514791,ECY-639,5
26083,8681406514777,ECY-639,6
26082,8681406514760,ECY-639,6
26094,8681406514845,ECY-640,4
26099,8681406514746,ECY-638,4
26102,8681406514289,ECY-630,5
26103,8681406514302,ECY-630,11
26101,8681406514272,ECY-630,13
27322,8681406514296,ECY-630,13
26150,8681406514982,ECY-582,2
26201,8696722846952,001-018260,6
26203,8680570451321,001-018260,6
27387,8680570158015,001-018630,3
26534,8681406521874,DLD-5002-2,15
26591,8681406519000,VNS-8260,3
26613,8681406518676,IFN-127,0
26733,8681406521140,DLD-6020-2,2
27041,8681406520488,IFN-5803-1,3
27042,8681406520495,IFN-5803-1,2
27161,8680570228442,001-013125,0
27213,8681406522918,CH-0062-9,0
27217,8681406522888,CH-0062-6,2
27297,8681406523779,IFN-1007,0
27342,8681406524417,DLD-7008,6
27341,8681406524400,DLD-7008,3
27345,8681406524622,DLD-7013,2
27378,8681406524608,DLD-7012,0
27415,8680570214766,001-018855,1
27671,242575494061,MCT-1892-2,46
28107,8681406525063,ECY-523,2
28114,8681406525131,ECY-519,1
28119,8681406525148,ECY-599,4
28370,8681406526008,ECY-652,1
28493,8680570202008,001-018795,0
28656,8681406531095,SST-834,8
28663,8681406530647,SST-331-2,6
28704,8696722853691,001-018274,1
28840,8681406526992,NBL-1054,1
28918,243713499826,SST-289,46
28962,8681406527227,IFN-1030,5
28964,8681406527302,SST-344,2
28963,8681406527296,SST-344,6
28988,8681406527333,IFN-2000,10
29003,8681406527845,NBL-1064,15
29004,8681406527852,NBL-1064,5
29005,8681406527869,NBL-1064,5
29002,8681406527838,NBL-1064,8
29034,8681406527500,IFN-2004,0
29031,8681406527470,IFN-2004,3
29032,8681406527487,IFN-2004,17
29049,8681406528040,PSN-3170,2
29064,8681406528354,ECY-659,2
29072,8681406528439,IFN-2010,2
29138,8681406529481,PSN-4180,8
29147,8681406529221,PSN-4101,1
29151,8681406529337,PSN-4142,4
29160,8681406529429,PSN-4166,0
29162,8681406529443,PSN-4166,2
29385,9000504085,SST-6505,49
29405,9000504119,SST-6560,49
29413,9000503838,SST-310,48
29427,9000503928,SST-484,50
29458,8681406530692,SST-4026,4
29468,8681406530661,SST-961,12
29478,8681406530715,SST-915,13
29480,9000504027,SST-829,49
29487,8681406531057,SST-641,2
29493,9000503951,SST-610,43
29552,8681406530708,SST-914,14
29659,8681406529849,IFN-2020,10
29657,8681406529825,IFN-2020,9
29668,8681406530029,IFN-2026,0
29678,8681406519369,IFN-2013,0
29682,8681406519413,IFN-2014,0
29690,8681406529948,IFN-2024,9
29691,8681406529955,IFN-2024,4
29692,8681406529962,IFN-2024,0
29962,8681406531712,PSN-4100,5
29968,8681406531514,PSN-3222,5
29972,8681406531620,PSN-3251,0
29977,8681406532351,PSN-4201,5
29979,8681406532375,PSN-4201,7
29997,8681406531682,PSN-3275,4
29999,8681406531590,PSN-3250,1
30024,8681406531385,PSN-3120,10
30041,9000520895,SST-315-1,27
30042,9000520896,SST-315-1,30
30046,9000520923,SST-323,49
30048,9000520921,SST-295,49
30085,8681406532146,PSN-6062,4
30086,8681406532122,PSN-6023,9
30088,8681406532214,PSN-5027,3
30168,8681406530906,VNS-100-4,1
30171,8681406530852,VNS-100-3,3
30174,8681406530760,VNS-100-1,10
30175,8681406530777,VNS-100-1,16
30182,8681406530968,VNS-145-1,7
30215,8681406531217,IFN-2031,5
30222,8681406531132,IFN-2029,1
30223,8681406531149,IFN-2029,0
30224,8681406531156,IFN-2029,0
30234,9000521781,SST-319-2,49
21261,9000437598,SST-765,47
22555,9000450642,TK-0922,17
23172,9000450723,TK-0117-3,38
23179,9000450722,TK-0117-2,41
23718,9000454255,FDS-8043,41
23840,9000454060,FDS-8075,49
24898,9000454038,FDS-8128-3,42
24899,9000454039,FDS-8128-3,37
26557,8680570234283,001-018986,0
27033,8681406520518,IFN-5803-2,38
27115,8681406522482,ECY-634-2,7
